0_x,0_y,0_score,1_x,1_y,1_score,2_x,2_y,2_score,3_x,3_y,3_score,4_x,4_y,4_score,5_x,5_y,5_score,6_x,6_y,6_score,7_x,7_y,7_score,8_x,8_y,8_score,9_x,9_y,9_score,10_x,10_y,10_score,11_x,11_y,11_score,12_x,12_y,12_score,13_x,13_y,13_score,14_x,14_y,14_score,15_x,15_y,15_score,16_x,16_y,16_score,17_x,17_y,17_score,type_index,type_str,file_name
0.45,0.33,0.95,0.45,0.41,0.9,0.4,0.4,0.79,0.39,0.5,0.77,0.38,0.6,0.88,0.5,0.41,0.75,0.51,0.51,0.88,0.51,0.6,0.91,0.42,0.59,0.74,0.42,0.73,0.81,0.4,0.88,0.77,0.48,0.59,0.67,0.48,0.74,0.74,0.49,0.88,0.79,0.44,0.32,0.86,0.46,0.32,0.83,0.43,0.33,0.86,0.48,0.34,0.8,0,stand,./input/stand/Colour 40-golf-109.png
0.52,0.27,0.92,0.52,0.36,0.73,0.47,0.36,0.85,0.45,0.47,0.9,0.45,0.55,0.93,0.56,0.37,0.84,0.57,0.47,0.82,0.57,0.55,0.86,0.48,0.58,0.66,0.49,0.73,0.86,0.48,0.87,0.68,0.54,0.58,0.78,0.54,0.73,0.84,0.54,0.87,0.7,0.51,0.26,0.9,0.53,0.26,0.86,0.5,0.27,0.63,0.55,0.28,0.77,0,stand,./input/stand/Colour 214 (5)-stand.png
0.47,0.33,0.87,0.46,0.41,0.81,0.42,0.4,0.88,0.4,0.51,0.89,0.4,0.6,0.88,0.51,0.41,0.83,0.52,0.51,0.9,0.52,0.6,0.88,0.43,0.6,0.78,0.43,0.74,0.77,0.42,0.88,0.84,0.5,0.6,0.74,0.5,0.74,0.84,0.5,0.88,0.76,0.46,0.31,0.88,0.48,0.32,0.92,0.44,0.33,0.77,0.5,0.33,0.79,0,stand,./input/stand/Colour 46-fps-118.png
0.46,0.29,0.84,0.47,0.39,0.84,0.42,0.4,0.86,0.41,0.51,0.77,0.41,0.61,0.73,0.51,0.39,0.78,0.55,0.49,0.86,0.56,0.59,0.84,0.44,0.61,0.65,0.45,0.76,0.8,0.45,0.9,0.82,0.51,0.6,0.71,0.51,0.76,0.8,0.51,0.91,0.78,0.45,0.28,0.89,0.47,0.28,0.86,0.44,0.3,0.83,0.49,0.29,0.95,0,stand,./input/stand/Colour 42 (11)-stand.png
0.53,0.24,0.91,0.53,0.34,0.81,0.47,0.35,0.79,0.45,0.45,0.89,0.48,0.52,0.82,0.58,0.34,0.83,0.6,0.45,0.89,0.58,0.53,0.94,0.5,0.54,0.64,0.5,0.71,0.74,0.5,0.86,0.78,0.56,0.54,0.72,0.55,0.71,0.72,0.55,0.86,0.8,0.52,0.23,0.84,0.54,0.23,0.89,0.5,0.25,0.9,0.56,0.25,0.85,0,stand,./input/stand/Colour 169 (4)-stand.png
0.46,0.27,0.92,0.46,0.36,0.84,0.41,0.36,0.91,0.39,0.46,0.91,0.39,0.56,0.84,0.51,0.36,0.87,0.53,0.47,0.89,0.53,0.57,0.95,0.43,0.57,0.68,0.42,0.74,0.71,0.42,0.89,0.75,0.5,0.58,0.69,0.5,0.74,0.77,0.49,0.89,0.76,0.45,0.26,0.87,0.48,0.26,0.81,0.44,0.27,0.91,0.49,0.27,0.92,0,stand,./input/stand/Colour 64-golf-67.png
0.49,0.35,0.96,0.48,0.44,0.87,0.44,0.44,0.86,0.42,0.54,0.8,0.42,0.63,0.84,0.53,0.44,0.93,0.53,0.54,0.7,0.54,0.64,0.92,0.45,0.62,0.73,0.45,0.78,0.82,0.44,0.91,0.7,0.51,0.62,0.71,0.51,0.77,0.86,0.51,0.91,0.66,0.48,0.34,0.85,0.5,0.34,0.79,0.46,0.35,0.83,0.51,0.36,0.93,0,stand,./input/stand/Colour 237-fps-34.png
0.49,0.36,0.97,0.49,0.44,0.95,0.44,0.44,0.83,0.43,0.54,0.75,0.42,0.63,0.72,0.53,0.44,0.9,0.55,0.54,0.78,0.55,0.63,0.8,0.45,0.62,0.76,0.46,0.77,0.83,0.45,0.9,0.83,0.52,0.62,0.69,0.51,0.77,0.84,0.52,0.91,0.69,0.48,0.35,0.86,0.5,0.35,0.84,0.46,0.36,0.8,0.51,0.36,0.92,0,stand,./input/stand/Colour 37 (10)-stand.png
0.5,0.27,0.96,0.5,0.37,0.78,0.46,0.36,0.77,0.44,0.47,0.76,0.44,0.57,0.83,0.55,0.37,0.84,0.56,0.48,0.79,0.56,0.57,0.92,0.46,0.58,0.69,0.47,0.73,0.86,0.47,0.87,0.71,0.53,0.58,0.74,0.52,0.73,0.89,0.52,0.87,0.76,0.5,0.26,0.88,0.51,0.26,0.81,0.48,0.27,0.55,0.53,0.28,0.72,0,stand,./input/stand/Colour 64-misc-232.png
0.48,0.29,0.93,0.47,0.39,0.88,0.42,0.39,0.79,0.4,0.51,0.86,0.39,0.6,0.77,0.51,0.4,0.8,0.54,0.51,0.74,0.54,0.6,0.89,0.44,0.6,0.7,0.44,0.76,0.71,0.44,0.9,0.79,0.5,0.6,0.67,0.5,0.76,0.71,0.5,0.9,0.72,0.48,0.28,0.87,0.5,0.28,0.87,0.45,0.29,0.91,0.5,0.31,0.81,0,stand,./input/stand/Colour 58 (12)-stand.png
0.49,0.29,0.98,0.49,0.39,0.84,0.44,0.38,0.82,0.42,0.49,0.78,0.42,0.58,0.8,0.53,0.39,0.78,0.54,0.5,0.81,0.54,0.59,0.89,0.45,0.58,0.71,0.44,0.73,0.76,0.43,0.87,0.84,0.51,0.58,0.68,0.51,0.74,0.71,0.52,0.88,0.85,0.48,0.28,0.75,0.5,0.28,0.83,0.47,0.3,0.84,0.51,0.3,0.78,0,stand,./input/stand/Colour 100 (3)-stand.png
0.48,0.35,0.9,0.47,0.44,0.91,0.43,0.44,0.87,0.41,0.53,0.85,0.41,0.62,0.79,0.52,0.43,0.83,0.53,0.54,0.78,0.54,0.62,0.79,0.44,0.62,0.67,0.44,0.77,0.74,0.44,0.91,0.78,0.5,0.62,0.77,0.5,0.78,0.85,0.51,0.91,0.71,0.47,0.34,0.87,0.49,0.34,0.86,0.45,0.35,0.99,0.5,0.35,0.9,0,stand,./input/stand/Colour 22 (6)-stand.png
0.53,0.24,0.93,0.53,0.35,0.91,0.48,0.35,0.85,0.46,0.46,0.81,0.47,0.55,0.91,0.58,0.35,0.83,0.59,0.46,0.74,0.58,0.55,0.95,0.5,0.54,0.63,0.5,0.71,0.73,0.5,0.85,0.81,0.56,0.54,0.7,0.55,0.71,0.82,0.55,0.86,0.79,0.52,0.23,0.78,0.54,0.23,0.86,0.5,0.26,0.83,0.56,0.26,0.8,0,stand,./input/stand/Colour 185 (3)-stand.png
0.47,0.33,0.89,0.47,0.41,0.92,0.42,0.4,0.82,0.4,0.5,0.81,0.4,0.59,0.91,0.51,0.41,0.79,0.53,0.51,0.82,0.54,0.6,0.84,0.44,0.59,0.76,0.44,0.74,0.7,0.44,0.88,0.81,0.5,0.59,0.71,0.49,0.74,0.78,0.48,0.88,0.71,0.46,0.32,0.9,0.48,0.32,0.95,0.45,0.33,0.82,0.5,0.33,0.72,0,stand,./input/stand/Colour 106  (17)-stand.png
0.45,0.29,0.94,0.44,0.4,0.86,0.4,0.4,0.89,0.38,0.51,0.8,0.39,0.6,0.87,0.5,0.39,0.81,0.52,0.5,0.81,0.53,0.59,0.87,0.43,0.61,0.67,0.43,0.76,0.76,0.43,0.9,0.86,0.49,0.6,0.69,0.5,0.76,0.7,0.5,0.9,0.76,0.44,0.28,0.85,0.46,0.29,0.83,0.42,0.3,0.77,0.47,0.3,0.7,0,stand,./input/stand/Colour 42 (25)-stand.png
0.47,0.27,0.96,0.47,0.35,0.95,0.42,0.36,0.85,0.41,0.46,0.84,0.41,0.57,0.79,0.52,0.35,0.89,0.54,0.47,0.86,0.54,0.57,0.82,0.44,0.58,0.75,0.44,0.74,0.8,0.43,0.89,0.81,0.5,0.58,0.74,0.51,0.74,0.82,0.5,0.89,0.78,0.46,0.26,0.76,0.49,0.26,0.82,0.45,0.27,0.92,0.5,0.27,0.84,0,stand,./input/stand/Colour 32-misc-82.png
0.55,0.24,0.96,0.54,0.35,0.8,0.49,0.35,0.81,0.47,0.46,0.88,0.48,0.55,0.86,0.59,0.35,0.7,0.6,0.45,0.78,0.58,0.54,0.82,0.5,0.53,0.69,0.5,0.7,0.83,0.5,0.85,0.81,0.56,0.53,0.75,0.55,0.71,0.81,0.55,0.86,0.76,0.53,0.23,0.75,0.56,0.24,0.82,0.52,0.26,0.77,0.57,0.26,0.69,0,stand,./input/stand/Colour 169 (21)-stand.png
0.47,0.35,0.94,0.47,0.43,0.89,0.43,0.43,0.8,0.41,0.53,0.83,0.4,0.62,0.86,0.51,0.43,0.79,0.53,0.54,0.85,0.53,0.63,0.78,0.44,0.62,0.74,0.43,0.77,0.85,0.43,0.91,0.71,0.5,0.62,0.68,0.5,0.78,0.74,0.5,0.91,0.77,0.46,0.34,0.82,0.49,0.34,0.83,0.45,0.35,0.96,0.5,0.36,0.82,0,stand,./input/stand/Colour 22 (11)-stand.png
0.47,0.35,0.94,0.47,0.43,0.89,0.43,0.43,0.82,0.41,0.53,0.83,0.4,0.62,0.83,0.51,0.43,0.76,0.53,0.54,0.84,0.53,0.63,0.79,0.44,0.62,0.73,0.43,0.77,0.84,0.43,0.91,0.71,0.5,0.62,0.68,0.5,0.78,0.74,0.5,0.91,0.79,0.46,0.34,0.82,0.49,0.34,0.82,0.45,0.35,0.98,0.5,0.36,0.82,0,stand,./input/stand/Colour 22 (9)-stand.png
0.49,0.29,0.94,0.48,0.39,0.79,0.44,0.39,0.85,0.42,0.49,0.83,0.43,0.58,0.79,0.53,0.39,0.78,0.54,0.5,0.8,0.53,0.59,0.8,0.45,0.59,0.7,0.44,0.74,0.85,0.43,0.88,0.88,0.51,0.59,0.73,0.52,0.74,0.85,0.52,0.89,0.8,0.48,0.28,0.74,0.5,0.28,0.77,0.46,0.29,0.88,0.51,0.3,0.9,0,stand,./input/stand/Colour 52-golf-88.png
0.5,0.29,0.89,0.5,0.39,0.72,0.45,0.39,0.83,0.43,0.49,0.75,0.42,0.58,0.7,0.55,0.39,0.84,0.56,0.51,0.81,0.55,0.6,0.82,0.46,0.58,0.62,0.44,0.74,0.81,0.41,0.88,0.71,0.52,0.59,0.76,0.54,0.74,0.83,0.56,0.89,0.79,0.49,0.28,0.88,0.51,0.28,0.88,0.48,0.3,0.77,0.53,0.3,0.87,0,stand,./input/stand/Colour 87 (8)-stand.png
0.49,0.29,0.92,0.49,0.39,0.88,0.44,0.38,0.88,0.4,0.47,0.82,0.42,0.55,0.91,0.54,0.39,0.77,0.57,0.48,0.85,0.56,0.56,0.8,0.44,0.59,0.66,0.42,0.74,0.83,0.4,0.89,0.76,0.51,0.59,0.7,0.54,0.75,0.81,0.57,0.9,0.79,0.48,0.28,0.81,0.5,0.28,0.83,0.47,0.29,0.92,0.52,0.29,0.85,0,stand,./input/stand/Colour 87 (10)-stand.png
0.47,0.27,0.97,0.47,0.35,0.95,0.42,0.36,0.85,0.41,0.46,0.85,0.41,0.57,0.73,0.52,0.35,0.89,0.54,0.47,0.87,0.54,0.57,0.8,0.44,0.58,0.75,0.44,0.74,0.8,0.43,0.89,0.79,0.5,0.58,0.74,0.51,0.74,0.81,0.5,0.89,0.78,0.46,0.26,0.76,0.49,0.26,0.82,0.45,0.27,0.89,0.5,0.27,0.84,0,stand,./input/stand/Colour 27-misc-82.png
0.44,0.3,0.8,0.45,0.4,0.93,0.41,0.4,0.8,0.39,0.51,0.83,0.39,0.61,0.82,0.5,0.4,0.86,0.52,0.51,0.83,0.53,0.6,0.86,0.43,0.61,0.71,0.44,0.76,0.84,0.44,0.89,0.83,0.5,0.6,0.65,0.5,0.76,0.72,0.5,0.9,0.81,0.44,0.29,0.96,0.45,0.29,0.93,0.42,0.31,0.74,0.47,0.3,0.87,0,stand,./input/stand/Colour 42 (1)-stand.png
0.51,0.27,0.89,0.48,0.36,0.8,0.44,0.36,0.86,0.42,0.47,0.77,0.43,0.57,0.76,0.53,0.37,0.84,0.54,0.47,0.8,0.54,0.55,0.87,0.45,0.57,0.71,0.45,0.72,0.84,0.44,0.88,0.67,0.51,0.56,0.64,0.5,0.72,0.75,0.5,0.88,0.71,0.5,0.26,0.76,0.52,0.26,0.72,0.47,0.27,0.88,0,0,0,0,stand,./input/stand/Colour 127 (12)-stand.png
0.5,0.28,0.84,0.49,0.38,0.92,0.44,0.38,0.8,0.41,0.48,0.72,0.42,0.55,0.78,0.54,0.39,0.79,0.56,0.48,0.8,0.55,0.56,0.74,0.45,0.59,0.7,0.44,0.74,0.86,0.43,0.89,0.79,0.52,0.59,0.74,0.52,0.75,0.89,0.53,0.89,0.76,0.49,0.27,0.93,0.5,0.28,0.9,0.47,0.29,0.93,0.52,0.29,0.87,0,stand,./input/stand/Colour 87 (4)-stand.png
0.48,0.29,0.93,0.46,0.39,0.85,0.42,0.4,0.86,0.39,0.51,0.85,0.39,0.61,0.78,0.51,0.39,0.77,0.54,0.51,0.77,0.54,0.61,0.86,0.44,0.61,0.72,0.44,0.77,0.78,0.44,0.9,0.77,0.5,0.61,0.7,0.5,0.77,0.77,0.5,0.91,0.71,0.46,0.28,0.89,0.49,0.28,0.86,0.44,0.29,0.91,0.5,0.29,0.61,0,stand,./input/stand/Colour 58 (9)-stand.png
0.53,0.27,0.93,0.53,0.35,0.93,0.48,0.35,0.83,0.45,0.46,0.86,0.45,0.55,0.9,0.58,0.35,0.87,0.6,0.46,0.83,0.6,0.55,0.88,0.49,0.56,0.68,0.49,0.71,0.84,0.49,0.83,0.86,0.56,0.56,0.63,0.55,0.71,0.82,0.54,0.85,0.78,0.52,0.25,0.8,0.54,0.26,0.88,0.5,0.27,0.84,0.56,0.27,0.82,0,stand,./input/stand/Colour 58-golf-151.png
0.51,0.24,0.95,0.51,0.35,0.91,0.46,0.35,0.86,0.44,0.46,0.88,0.44,0.55,0.91,0.56,0.35,0.8,0.58,0.45,0.84,0.57,0.54,0.81,0.48,0.54,0.63,0.49,0.7,0.85,0.49,0.85,0.85,0.54,0.53,0.78,0.53,0.7,0.82,0.53,0.86,0.84,0.5,0.24,0.73,0.52,0.23,0.82,0.48,0.26,0.79,0.53,0.26,0.73,0,stand,./input/stand/Colour 169 (14)-stand.png
0.51,0.26,0.92,0.5,0.36,0.9,0.46,0.36,0.76,0.44,0.47,0.71,0.44,0.57,0.79,0.55,0.36,0.75,0.56,0.47,0.8,0.56,0.57,0.92,0.47,0.58,0.69,0.47,0.73,0.81,0.46,0.88,0.8,0.53,0.58,0.68,0.52,0.74,0.87,0.52,0.88,0.83,0.5,0.25,0.83,0.52,0.25,0.89,0.49,0.27,0.71,0.54,0.27,0.65,0,stand,./input/stand/Colour 106-fps-226.png
0.46,0.3,0.81,0.46,0.39,0.83,0.42,0.4,0.88,0.4,0.51,0.81,0.4,0.61,0.85,0.51,0.39,0.83,0.55,0.49,0.86,0.56,0.59,0.74,0.44,0.61,0.65,0.45,0.76,0.77,0.45,0.9,0.83,0.51,0.6,0.71,0.51,0.76,0.77,0.52,0.9,0.77,0.45,0.29,0.96,0.47,0.29,0.93,0.44,0.3,0.83,0.49,0.3,0.83,0,stand,./input/stand/Colour 42 (14)-stand.png
0.54,0.25,0.95,0.54,0.35,0.8,0.48,0.35,0.83,0.46,0.46,0.78,0.47,0.55,0.91,0.59,0.35,0.74,0.61,0.46,0.81,0.6,0.55,0.96,0.5,0.54,0.71,0.5,0.71,0.83,0.5,0.85,0.85,0.56,0.54,0.72,0.56,0.71,0.83,0.56,0.86,0.74,0.53,0.24,0.86,0.55,0.24,0.79,0.51,0.26,0.79,0.56,0.26,0.8,0,stand,./input/stand/Colour 54-fps-181.png
0.45,0.33,0.93,0.45,0.41,0.9,0.4,0.4,0.8,0.39,0.5,0.78,0.38,0.6,0.87,0.5,0.41,0.74,0.51,0.51,0.9,0.51,0.6,0.89,0.42,0.59,0.73,0.42,0.73,0.79,0.4,0.88,0.78,0.48,0.59,0.67,0.48,0.74,0.71,0.49,0.88,0.8,0.44,0.32,0.85,0.46,0.32,0.87,0.43,0.33,0.84,0.48,0.33,0.8,0,stand,./input/stand/Colour 52-golf-109.png
0.5,0.29,0.96,0.5,0.39,0.79,0.45,0.38,0.88,0.43,0.49,0.86,0.44,0.58,0.77,0.54,0.39,0.84,0.56,0.5,0.71,0.55,0.59,0.88,0.46,0.58,0.6,0.44,0.74,0.76,0.44,0.88,0.89,0.52,0.59,0.75,0.53,0.74,0.82,0.53,0.88,0.87,0.5,0.28,0.81,0.51,0.28,0.76,0.48,0.29,0.8,0.53,0.3,0.9,0,stand,./input/stand/Colour 60-golf-88.png
0.49,0.32,0.83,0.49,0.4,0.88,0.44,0.4,0.86,0.42,0.49,0.8,0.41,0.59,0.94,0.53,0.41,0.85,0.55,0.51,0.87,0.55,0.6,0.77,0.45,0.59,0.75,0.45,0.73,0.77,0.45,0.88,0.85,0.51,0.59,0.66,0.5,0.74,0.83,0.5,0.88,0.8,0.48,0.31,0.94,0.5,0.32,0.87,0.46,0.33,0.65,0.51,0.33,0.82,0,stand,./input/stand/Colour 121 (2)-stand.png
0.51,0.24,0.87,0.51,0.34,0.77,0.46,0.35,0.73,0.44,0.46,0.78,0.45,0.55,0.89,0.56,0.34,0.81,0.58,0.46,0.88,0.57,0.55,0.83,0.48,0.53,0.64,0.48,0.71,0.72,0.48,0.86,0.77,0.54,0.53,0.77,0.53,0.71,0.78,0.53,0.86,0.77,0.5,0.23,0.87,0.53,0.23,0.9,0.49,0.26,0.9,0.54,0.26,0.82,0,stand,./input/stand/Colour 50-golf-173.png
0.48,0.3,0.86,0.47,0.38,0.93,0.43,0.38,0.91,0.41,0.47,0.91,0.41,0.55,0.87,0.52,0.38,0.83,0.53,0.47,0.79,0.53,0.56,0.82,0.44,0.57,0.72,0.43,0.71,0.81,0.43,0.84,0.84,0.5,0.57,0.7,0.5,0.72,0.73,0.49,0.84,0.86,0.47,0.29,0.95,0.49,0.29,0.96,0.45,0.3,0.75,0.5,0.3,0.73,0,stand,./input/stand/Colour 64 (13)-stand.png
0.51,0.28,0.87,0.5,0.36,0.86,0.46,0.36,0.74,0.44,0.46,0.89,0.44,0.55,0.84,0.55,0.37,0.73,0.56,0.47,0.83,0.56,0.56,0.81,0.47,0.58,0.76,0.48,0.73,0.86,0.47,0.86,0.81,0.53,0.58,0.65,0.53,0.73,0.68,0.53,0.87,0.68,0.5,0.27,0.92,0.52,0.27,0.95,0.49,0.27,0.71,0.54,0.28,0.66,0,stand,./input/stand/Colour 214 (17)-stand.png
0.53,0.27,0.89,0.53,0.36,0.87,0.47,0.36,0.86,0.44,0.47,0.8,0.44,0.55,0.9,0.58,0.36,0.78,0.6,0.47,0.87,0.59,0.56,0.81,0.48,0.56,0.62,0.49,0.7,0.85,0.5,0.83,0.78,0.55,0.56,0.67,0.55,0.7,0.83,0.54,0.84,0.83,0.52,0.26,0.86,0.54,0.26,0.89,0.5,0.27,0.89,0.56,0.27,0.8,0,stand,./input/stand/Colour 796-fps-160.png
0.5,0.27,0.79,0.49,0.36,0.88,0.44,0.36,0.82,0.43,0.46,0.73,0.42,0.55,0.93,0.54,0.37,0.78,0.55,0.47,0.78,0.54,0.54,0.84,0.45,0.57,0.72,0.45,0.72,0.83,0.44,0.88,0.7,0.51,0.57,0.71,0.51,0.72,0.88,0.51,0.88,0.8,0.49,0.26,0.82,0.51,0.26,0.79,0.47,0.27,0.84,0.52,0.27,0.68,0,stand,./input/stand/Colour 127 (2)-stand.png
0.48,0.35,0.88,0.48,0.43,0.78,0.44,0.43,0.88,0.42,0.53,0.88,0.41,0.62,0.9,0.52,0.43,0.87,0.54,0.53,0.8,0.55,0.62,0.86,0.44,0.61,0.73,0.44,0.77,0.74,0.44,0.91,0.74,0.51,0.62,0.78,0.51,0.78,0.85,0.51,0.91,0.71,0.47,0.34,0.87,0.49,0.34,0.85,0.46,0.36,0.92,0.5,0.36,0.94,0,stand,./input/stand/Colour 22 (3)-stand.png
0.49,0.31,0.95,0.48,0.4,0.79,0.43,0.4,0.87,0.42,0.52,0.79,0.43,0.61,0.82,0.53,0.4,0.91,0.56,0.49,0.71,0.57,0.59,0.77,0.47,0.61,0.73,0.48,0.77,0.82,0.49,0.9,0.83,0.53,0.6,0.74,0.53,0.76,0.81,0.53,0.9,0.81,0.48,0.29,0.89,0.5,0.3,0.8,0.46,0.3,0.86,0.51,0.31,0.7,0,stand,./input/stand/Colour 8-golf-46.png
0.51,0.27,0.98,0.5,0.36,0.88,0.46,0.36,0.76,0.44,0.47,0.83,0.43,0.55,0.86,0.55,0.36,0.76,0.56,0.47,0.81,0.57,0.57,0.78,0.47,0.58,0.71,0.47,0.73,0.86,0.46,0.87,0.71,0.53,0.58,0.66,0.53,0.74,0.8,0.53,0.88,0.83,0.5,0.26,0.74,0.52,0.26,0.78,0.49,0.27,0.74,0.53,0.27,0.66,0,stand,./input/stand/Colour 214 (25)-stand.png
0.5,0.28,0.71,0.49,0.37,0.86,0.44,0.37,0.75,0.43,0.48,0.82,0.43,0.58,0.86,0.53,0.37,0.74,0.55,0.48,0.71,0.54,0.57,0.77,0.45,0.57,0.71,0.45,0.72,0.86,0.44,0.86,0.71,0.51,0.57,0.65,0.5,0.72,0.88,0.5,0.87,0.74,0.49,0.27,0.86,0.5,0.27,0.89,0.47,0.28,0.59,0.52,0.28,0.42,0,stand,./input/stand/Colour 142 (2)-stand.png
0.51,0.26,0.94,0.5,0.36,0.88,0.46,0.36,0.79,0.44,0.47,0.77,0.44,0.56,0.8,0.55,0.36,0.8,0.56,0.47,0.85,0.56,0.57,0.89,0.47,0.58,0.7,0.47,0.73,0.82,0.47,0.88,0.79,0.53,0.58,0.69,0.52,0.74,0.83,0.52,0.88,0.82,0.5,0.25,0.82,0.52,0.26,0.86,0.49,0.27,0.7,0.53,0.27,0.69,0,stand,./input/stand/Colour 75-fps-226.png
0.49,0.29,0.94,0.49,0.39,0.84,0.44,0.39,0.68,0.43,0.49,0.72,0.44,0.58,0.84,0.53,0.39,0.81,0.54,0.5,0.84,0.54,0.59,0.85,0.45,0.59,0.7,0.44,0.74,0.77,0.43,0.87,0.87,0.51,0.59,0.68,0.52,0.74,0.79,0.52,0.88,0.83,0.48,0.29,0.86,0.5,0.29,0.9,0.47,0.3,0.78,0.51,0.3,0.84,0,stand,./input/stand/Colour 50-misc-103.png
